id,key,value,type
5190757,name,Rue Du-Roveray,regular
5190757,oneway,yes,regular
5190758,cycleway,opposite,regular
5190758,highway,residential,regular
5190758,maxspeed,30,regular
5190758,name,Rue Maunoir,regular
5190758,oneway,yes,regular
5190759,highway,residential,regular
5190759,maxspeed,30,regular
5190759,name,Rue de la Mairie,regular
5190760,cycleway,opposite_lane,regular
5190760,highway,residential,regular
5190760,maxspeed,30,regular
5190760,name,Rue des Pierres-du-Niton,regular
5190760,oneway,yes,regular
5190761,access,private,regular
5190761,highway,service,regular
5190761,name,Square Le Peuplier,regular
5190761,service,parking_aisle,regular
5190762,highway,residential,regular
5190762,maxspeed,30,regular
5190762,name,Rue du Simplon,regular
5190762,oneway,yes,regular
5190764,highway,residential,regular
5190764,maxspeed,30,regular
5190764,name,Rue Henri-Blanvalet,regular
5190764,oneway,yes,regular
5190765,highway,residential,regular
5190765,maxspeed,30,regular
5190765,name,Rue des Photographes,regular
5190766,highway,residential,regular
5190766,maxspeed,30,regular
5190766,name,Rue du Nant,regular
5190766,oneway,yes,regular
5190767,highway,pedestrian,regular
5190767,name,Passage Linck,regular
5190768,highway,residential,regular
5190768,maxspeed,30,regular
5190768,name,Rue des Cordiers,regular
5190770,highway,residential,regular
5190770,maxspeed,30,regular
5190770,name,Rue Sillem,regular
5190770,oneway,yes,regular
5190771,cycleway,opposite,regular
5190771,highway,residential,regular
5190771,maxspeed,30,regular
5190771,name,Rue du Pré-Naville,regular
5190771,oneway,yes,regular
5190772,highway,residential,regular
5190772,maxspeed,30,regular
5190772,name,Rue de Soleure,regular
5190773,highway,residential,regular
5190773,name,Rue du Parc,regular
5190773,oneway,yes,regular
5190774,highway,residential,regular
5190774,name,Rue Louis-Duchosal,regular
5190774,oneway,yes,regular
5190837,highway,residential,regular
5190837,name,Rue de la Muse,regular
5190837,oneway,yes,regular
5197271,highway,steps,regular
5197271,layer,-1,regular
5197271,name,Rue des Barrières,regular
5197273,cycleway,opposite,regular
5197273,highway,living_street,regular
5197273,maxspeed,20,regular
5197273,name,Rue du Cheval-Blanc,regular
5197273,oneway,yes,regular
5197274,access,yes,regular
5197274,bicycle,dismount,regular
5197274,foot,designated,regular
5197274,highway,steps,regular
